TABLA;INDICE;TYPE_DESC;IS_PRIMARY_KEY;IS_UNIQUE;USER_SEEKS;USER_SCANS;USER_LOOKUPS;USER_UPDATES;LAST_USER_SEEK;LAST_USER_SCAN;TAMANO-TOTAL;USED-PAGES;ATRIBUTOS;BUSQUEDAS;EVALUACION_INDICE;DIFERENCIA_ATRIBUTOS;EVALUACION_CONTENIDO;MANTENER;IS_PRIMARY_KEY_NUM;IS_UNIQUE_NUM;TIPO;LARGO_ATRIBUTOS;PESO_GRUPO;BENEFICIO
RelacionDevengadoDecreto;Area;NONCLUSTERED;False;False;0.0;0.0;0.0;0.0;;;10.453125;7.828125;Codigo_Area;0.0;NO USO;3;REVISAR;Contenidopor PK_RelacionDevengadoDecreto;0.0;0.0;INDEX;1;12.390625;Liberar 7.828125MB espacio, - 0.0 ops. de escritura
Relacion_Cuentas_Comprobantes;PK_Relacion_Cuentas_Comprobantes;CLUSTERED;True;True;0.0;0.0;0.0;0.0;;;5.890625;4.46875;Ano_Proceso,Codigo_Area,Cta_Pres;0.0;NO USO;;CONTENEDOR;Contenedor;0.0;0.0;INDEX;3;4.46875;
Relacion_Cuentas_Comprobantes;Ano_Proceso;NONCLUSTERED;False;False;0.0;0.0;0.0;0.0;;;2.953125;2.25;Ano_Proceso;0.0;NO USO;2;CANDIDATO ELIMINAR;Contenidopor PK_Relacion_Cuentas_Comprobantes;0.0;0.0;INDEX;1;4.46875;Liberar 2.25MB espacio, - 0.0 ops. de escritura
PresupuestoInicial;PK_PresupuestoInicial;CLUSTERED;True;True;0.0;0.0;0.0;0.0;;;1.703125;1.273437;Ano_Proceso,Codigo_Area,CodigoCuenta;0.0;NO USO;;CONTENEDOR;Contenedor;0.0;0.0;INDEX;3;1.273437;
PresupuestoInicial;Ano;NONCLUSTERED;False;False;0.0;0.0;0.0;0.0;;;1.203125;0.914062;Ano_Proceso;0.0;NO USO;2;CANDIDATO ELIMINAR;Contenidopor PK_PresupuestoInicial;0.0;0.0;INDEX;1;1.273437;Liberar 0.914062MB espacio, - 0.0 ops. de escritura
Tipos_CuentasCorrientes;PK_Tipos_CuentasCorrientes;CLUSTERED;True;True;0.0;0.0;0.0;0.0;;;0.023437;0.023437;Codigo_Area,Codigo;0.0;NO USO;;CONTENEDOR;Contenedor;0.0;0.0;INDEX;2;0.023437;
Tipos_CuentasCorrientes;Area;NONCLUSTERED;False;False;0.0;0.0;0.0;0.0;;;0.015625;0.015625;Codigo_Area;0.0;NO USO;1;CANDIDATO ELIMINAR;Contenidopor PK_Tipos_CuentasCorrientes;0.0;0.0;INDEX;1;0.023437;Liberar 0.015625MB espacio, - 0.0 ops. de escritura
Caja_Chica;PK_Caja_Chica;CLUSTERED;True;True;0.0;0.0;0.0;0.0;;;0.0;0.0;Codigo_Area,Numero_Caja,Numero;0.0;NO USO;;CONTENEDOR;Contenedor;0.0;0.0;INDEX;3;0.0;
Caja_Chica;Caja_Chica_Codigo_Area;NONCLUSTERED;False;False;0.0;0.0;0.0;0.0;;;0.0;0.0;Codigo_Area;0.0;NO USO;2;CANDIDATO ELIMINAR;Contenidopor PK_Caja_Chica;0.0;0.0;INDEX;1;0.0;Liberar 0.0MB espacio, - 0.0 ops. de escritura
CuentasCorrientes;PK_CuentasCorrientes;CLUSTERED;True;True;0.0;0.0;0.0;0.0;;;0.0;0.0;Codigo_Area,Ano_Proceso,TipoComprobante,Comprobante,TipoCuentaCorriente;0.0;NO USO;;CONTENEDOR;Contenedor;0.0;0.0;INDEX;5;0.0;
CuentasCorrientes;Area;NONCLUSTERED;False;False;0.0;0.0;0.0;0.0;;;0.0;0.0;Codigo_Area;0.0;NO USO;4;REVISAR;Contenidopor PK_CuentasCorrientes;0.0;0.0;INDEX;1;0.0;Liberar 0.0MB espacio, - 0.0 ops. de escritura
Cuentas_Consulta_Flujo_Caja;PK_Cuentas_Consulta_Flujo_Caja;CLUSTERED;True;True;0.0;0.0;0.0;0.0;;;0.0;0.0;Codigo_Area,Ano_Proceso,Grilla;0.0;NO USO;;CONTENEDOR;Contenedor;0.0;0.0;INDEX;3;0.0;
Cuentas_Consulta_Flujo_Caja;Area;NONCLUSTERED;False;False;0.0;0.0;0.0;0.0;;;0.0;0.0;Codigo_Area;0.0;NO USO;2;CANDIDATO ELIMINAR;Contenidopor PK_Cuentas_Consulta_Flujo_Caja;0.0;0.0;INDEX;1;0.0;Liberar 0.0MB espacio, - 0.0 ops. de escritura
Departamentos;PK_Departamentos;CLUSTERED;True;True;0.0;0.0;0.0;0.0;;;0.0;0.0;Codigo_Area,Codigo_Direccion,Codigo_Departamento;0.0;NO USO;;CONTENEDOR;Contenedor;0.0;0.0;INDEX;3;0.0;
Departamentos;Area;NONCLUSTERED;False;False;0.0;0.0;0.0;0.0;;;0.0;0.0;Codigo_Area;0.0;NO USO;2;CANDIDATO ELIMINAR;Contenidopor PK_Departamentos;0.0;0.0;INDEX;1;0.0;Liberar 0.0MB espacio, - 0.0 ops. de escritura
Graficos_Cuentas;PK_Graficos_Cuentas;CLUSTERED;True;True;0.0;0.0;0.0;0.0;;;0.0;0.0;Codigo_Area,Ano_Proceso,Grafico,Correlativo;0.0;NO USO;;CONTENEDOR;Contenedor;0.0;0.0;INDEX;4;0.0;
Graficos_Cuentas;Area;NONCLUSTERED;False;False;0.0;0.0;0.0;0.0;;;0.0;0.0;Codigo_Area;0.0;NO USO;3;REVISAR;Contenidopor PK_Graficos_Cuentas;0.0;0.0;INDEX;1;0.0;Liberar 0.0MB espacio, - 0.0 ops. de escritura
Graficos_Detalle;PK_Graficos_Detalle;CLUSTERED;True;True;0.0;0.0;0.0;0.0;;;0.0;0.0;Codigo_Area,Ano_Proceso,Grafico,Correlativo;0.0;NO USO;;CONTENEDOR;Contenedor;0.0;0.0;INDEX;4;0.0;
Graficos_Detalle;Area;NONCLUSTERED;False;False;0.0;0.0;0.0;0.0;;;0.0;0.0;Codigo_Area;0.0;NO USO;3;REVISAR;Contenidopor PK_Graficos_Detalle;0.0;0.0;INDEX;1;0.0;Liberar 0.0MB espacio, - 0.0 ops. de escritura
Graficos_Tipos;PK_Graficos_Tipos;CLUSTERED;True;True;0.0;0.0;0.0;0.0;;;0.0;0.0;Codigo_Area,Ano_Proceso,Grafico;0.0;NO USO;;CONTENEDOR;Contenedor;0.0;0.0;INDEX;3;0.0;
Graficos_Tipos;Area;NONCLUSTERED;False;False;0.0;0.0;0.0;0.0;;;0.0;0.0;Codigo_Area;0.0;NO USO;2;CANDIDATO ELIMINAR;Contenidopor PK_Graficos_Tipos;0.0;0.0;INDEX;1;0.0;Liberar 0.0MB espacio, - 0.0 ops. de escritura
Otra_Glosa_Decreto;PK_Otra_Glosa_Decreto;CLUSTERED;True;True;0.0;0.0;0.0;0.0;;;0.0;0.0;Codigo_Area,Ano_Proceso,NumeroDecreto;0.0;NO USO;;CONTENEDOR;Contenedor;0.0;0.0;INDEX;3;0.0;
Otra_Glosa_Decreto;Area;NONCLUSTERED;False;False;0.0;0.0;0.0;0.0;;;0.0;0.0;Codigo_Area;0.0;NO USO;2;CANDIDATO ELIMINAR;Contenidopor PK_Otra_Glosa_Decreto;0.0;0.0;INDEX;1;0.0;Liberar 0.0MB espacio, - 0.0 ops. de escritura
Resolucion;PK_Resolucion;CLUSTERED;True;True;0.0;0.0;0.0;0.0;;;0.0;0.0;Ano_Proceso,Area,Numero_Resolucion;0.0;NO USO;;CONTENEDOR;Contenedor;0.0;0.0;INDEX;3;0.0;
Resolucion;Ano;NONCLUSTERED;False;False;0.0;0.0;0.0;0.0;;;0.0;0.0;Ano_Proceso;0.0;NO USO;2;CANDIDATO ELIMINAR;Contenidopor PK_Resolucion;0.0;0.0;INDEX;1;0.0;Liberar 0.0MB espacio, - 0.0 ops. de escritura
