TABLA;INDICE;TYPE_DESC;IS_PRIMARY_KEY;IS_UNIQUE;USER_SEEKS;USER_SCANS;USER_LOOKUPS;USER_UPDATES;LAST_USER_SEEK;LAST_USER_SCAN;TAMANO-TOTAL;USED-PAGES;ATRIBUTOS;BUSQUEDAS;EVALUACION_INDICE;IS_PRIMARY_KEY_NUM;TIPO;MANTENER;INDICE_REFERENCIA;BENEFICIO
Escalafones;aaaaaEscalafones_PK;NONCLUSTERED;True;True;0.0;0.0;0.0;0.0;;;0.015625;0.015625;Id_Escalafon;0.0;NO USO;1;PK Y UNIQUE;Unico;aaaaaEscalafones_PK;
Escalafones;Id_Escalafon;NONCLUSTERED;False;False;0.0;0.0;0.0;0.0;;;0.015625;0.015625;Id_Escalafon;0.0;NO USO;0;INDEX;Duplica aaaaaEscalafones_PK;aaaaaEscalafones_PK;Liberar 0.015625MB, - 0.0 ops. de escritura
Establecimiento;aaaaaEstablecimiento_PK;NONCLUSTERED;True;True;0.0;0.0;0.0;0.0;;;0.015625;0.015625;Id_Estable;0.0;NO USO;1;PK Y UNIQUE;Unico;aaaaaEstablecimiento_PK;
Establecimiento;IdEstablecimiento;NONCLUSTERED;False;False;0.0;5.0;0.0;0.0;;2026-06-04 09:07:27.167;0.015625;0.015625;Id_Estable;0.0;NO USO;0;INDEX;Duplica aaaaaEstablecimiento_PK;aaaaaEstablecimiento_PK;Liberar 0.015625MB, - 0.0 ops. de escritura
Haberes;aaaaaHaberes_PK;NONCLUSTERED;True;True;0.0;0.0;0.0;0.0;;;0.015625;0.015625;Id_Haber;0.0;NO USO;1;PK Y UNIQUE;Unico;aaaaaHaberes_PK;
Haberes;Id_Haber;NONCLUSTERED;False;True;7.0;0.0;0.0;0.0;2026-06-04 10:53:21.910;;0.015625;0.015625;Id_Haber;7.0;Beneficio Busqueda;0;UNIQUE;Duplica aaaaaHaberes_PK;aaaaaHaberes_PK;Liberar 0.015625MB, - 0.0 ops. de escritura
HaberesINE;aaHaberesINE_PK;NONCLUSTERED;True;True;0.0;0.0;0.0;0.0;;;0.015625;0.015625;Id_Haber;0.0;NO USO;1;PK Y UNIQUE;Unico;aaHaberesINE_PK;
HaberesINE;Id_Haber;NONCLUSTERED;False;False;471.0;0.0;0.0;0.0;2026-06-04 09:07:10.537;;0.015625;0.015625;Id_Haber;471.0;Beneficio Busqueda;0;INDEX;Duplica aaHaberesINE_PK;aaHaberesINE_PK;Liberar 0.015625MB, - 0.0 ops. de escritura
Haberes_Finiquito;aaHaberes_Finiquito_PK;NONCLUSTERED;True;True;0.0;0.0;0.0;0.0;;;0.015625;0.015625;Id_Haber;0.0;NO USO;1;PK Y UNIQUE;Unico;aaHaberes_Finiquito_PK;
Haberes_Finiquito;Id_Haber;NONCLUSTERED;False;False;466.0;0.0;0.0;0.0;2026-06-04 09:07:17.183;;0.015625;0.015625;Id_Haber;466.0;Beneficio Busqueda;0;INDEX;Duplica aaHaberes_Finiquito_PK;aaHaberes_Finiquito_PK;Liberar 0.015625MB, - 0.0 ops. de escritura
Haberes_Sistema;aaaHaberes_Sistema_PK;CLUSTERED;True;True;19.0;0.0;0.0;2.0;2026-06-04 09:07:27.160;;0.015625;0.015625;Id_Haber;19.0;Beneficio Busqueda;1;PK Y UNIQUE;Unico;aaaHaberes_Sistema_PK;
Haberes_Sistema;Id_Haber;NONCLUSTERED;False;False;0.0;0.0;0.0;0.0;;;0.015625;0.015625;Id_Haber;0.0;NO USO;0;INDEX;Duplica aaaHaberes_Sistema_PK;aaaHaberes_Sistema_PK;Liberar 0.015625MB, - 0.0 ops. de escritura
Impuesto;aaaaaImpuesto_PK;NONCLUSTERED;True;True;0.0;0.0;0.0;0.0;;;0.015625;0.015625;Id_Tramo;0.0;NO USO;1;PK Y UNIQUE;Unico;aaaaaImpuesto_PK;
Impuesto;Id_Tramo;NONCLUSTERED;False;True;0.0;0.0;0.0;0.0;;;0.015625;0.015625;Id_Tramo;0.0;NO USO;0;UNIQUE;Duplica aaaaaImpuesto_PK;aaaaaImpuesto_PK;Liberar 0.015625MB, - 0.0 ops. de escritura
Isapres;aaaaaIsapres_PK;NONCLUSTERED;True;True;1.0;1.0;0.0;0.0;2026-06-04 09:07:04.667;2026-06-04 09:11:45.180;0.015625;0.015625;Id_Isapre;1.0;Beneficio Busqueda;1;PK Y UNIQUE;Unico;aaaaaIsapres_PK;
Isapres;Id_Isapre;NONCLUSTERED;False;True;0.0;0.0;0.0;0.0;;;0.015625;0.015625;Id_Isapre;0.0;NO USO;0;UNIQUE;Duplica aaaaaIsapres_PK;aaaaaIsapres_PK;Liberar 0.015625MB, - 0.0 ops. de escritura
LRE_Aportes;aaaLRE_Aportes_PK;NONCLUSTERED;True;True;0.0;0.0;0.0;0.0;;;0.015625;0.015625;Id_Aporte;0.0;NO USO;1;PK Y UNIQUE;Unico;aaaLRE_Aportes_PK;
LRE_Aportes;Id_Aporte;NONCLUSTERED;False;False;6.0;0.0;0.0;0.0;2026-06-04 09:07:14.373;;0.015625;0.015625;Id_Aporte;6.0;Beneficio Busqueda;0;INDEX;Duplica aaaLRE_Aportes_PK;aaaLRE_Aportes_PK;Liberar 0.015625MB, - 0.0 ops. de escritura
LRE_Descuentos;aaaLRE_Descuentos_PK;NONCLUSTERED;True;True;0.0;0.0;0.0;0.0;;;0.015625;0.015625;Id_Descuento;0.0;NO USO;1;PK Y UNIQUE;Unico;aaaLRE_Descuentos_PK;
LRE_Descuentos;Id_Descuento;NONCLUSTERED;False;False;10.0;0.0;0.0;0.0;2026-06-04 09:07:12.480;;0.015625;0.015625;Id_Descuento;10.0;Beneficio Busqueda;0;INDEX;Duplica aaaLRE_Descuentos_PK;aaaLRE_Descuentos_PK;Liberar 0.015625MB, - 0.0 ops. de escritura
LRE_Haberes;aaaLRE_Haberes_PK;NONCLUSTERED;True;True;0.0;0.0;0.0;2.0;;;0.015625;0.015625;Id_Haber;0.0;SIN BUSQUEDAS;1;PK Y UNIQUE;Unico;aaaLRE_Haberes_PK;
LRE_Haberes;Id_Haber;NONCLUSTERED;False;False;28.0;0.0;0.0;2.0;2026-06-04 09:07:12.417;;0.015625;0.015625;Id_Haber;28.0;Beneficio Busqueda;0;INDEX;Duplica aaaLRE_Haberes_PK;aaaLRE_Haberes_PK;Liberar 0.015625MB, - 2.0 ops. de escritura
LRE_Totales;aaaLRE_Totales_PK;NONCLUSTERED;True;True;2.0;0.0;0.0;0.0;2026-06-04 09:07:14.383;;0.015625;0.015625;Id_Total;2.0;Beneficio Busqueda;1;PK Y UNIQUE;Unico;aaaLRE_Totales_PK;
LRE_Totales;Id_Total;NONCLUSTERED;False;False;11.0;0.0;0.0;0.0;2026-06-04 09:07:12.587;;0.015625;0.015625;Id_Total;11.0;Beneficio Busqueda;0;INDEX;Duplica aaaLRE_Totales_PK;aaaLRE_Totales_PK;Liberar 0.015625MB, - 0.0 ops. de escritura
MacroCalculo;aaaaaMacroCalculo_PK;NONCLUSTERED;True;True;0.0;0.0;0.0;0.0;;;0.015625;0.015625;Macro_id;0.0;NO USO;1;PK Y UNIQUE;Unico;aaaaaMacroCalculo_PK;
MacroCalculo;Macro_id;NONCLUSTERED;False;False;10.0;0.0;0.0;0.0;2026-06-04 09:07:45.213;;0.015625;0.015625;Macro_id;10.0;Beneficio Busqueda;0;INDEX;Duplica aaaaaMacroCalculo_PK;aaaaaMacroCalculo_PK;Liberar 0.015625MB, - 0.0 ops. de escritura
ModoDctos;aaaaaModoDctos_PK;NONCLUSTERED;True;True;0.0;0.0;0.0;0.0;;;0.015625;0.015625;Id_ModoDctos;0.0;NO USO;1;PK Y UNIQUE;Unico;aaaaaModoDctos_PK;
ModoDctos;Id_ModoDctos;NONCLUSTERED;False;True;0.0;0.0;0.0;0.0;;;0.015625;0.015625;Id_ModoDctos;0.0;NO USO;0;UNIQUE;Duplica aaaaaModoDctos_PK;aaaaaModoDctos_PK;Liberar 0.015625MB, - 0.0 ops. de escritura
NivelEducativo;aaaaaNivelEducativo_PK;NONCLUSTERED;True;True;0.0;0.0;0.0;0.0;;;0.015625;0.015625;Id_Nivel;0.0;NO USO;1;PK Y UNIQUE;Unico;aaaaaNivelEducativo_PK;
NivelEducativo;Id_Nivel;NONCLUSTERED;False;False;0.0;0.0;0.0;0.0;;;0.015625;0.015625;Id_Nivel;0.0;NO USO;0;INDEX;Duplica aaaaaNivelEducativo_PK;aaaaaNivelEducativo_PK;Liberar 0.015625MB, - 0.0 ops. de escritura
Otras_InstitucionesPrev;aaOtras_InstitucionesPrev_PK;NONCLUSTERED;True;True;0.0;0.0;0.0;0.0;;;0.015625;0.015625;Id_Codigo;0.0;NO USO;1;PK Y UNIQUE;Unico;aaOtras_InstitucionesPrev_PK;
Otras_InstitucionesPrev;Id_Codigo;NONCLUSTERED;False;False;5.0;0.0;0.0;0.0;2026-06-04 09:06:25.100;;0.015625;0.015625;Id_Codigo;5.0;Beneficio Busqueda;0;INDEX;Duplica aaOtras_InstitucionesPrev_PK;aaOtras_InstitucionesPrev_PK;Liberar 0.015625MB, - 0.0 ops. de escritura
ParametrosGenerales;aaaaaParametrosGenerales_PK;NONCLUSTERED;True;True;1.0;0.0;0.0;0.0;2026-06-04 10:00:08.683;;0.015625;0.015625;Codigo_Area;1.0;Beneficio Busqueda;1;PK Y UNIQUE;Unico;aaaaaParametrosGenerales_PK;
ParametrosGenerales;Codigo_Area;NONCLUSTERED;False;True;7.0;0.0;0.0;0.0;2026-06-04 10:53:21.897;;0.015625;0.015625;Codigo_Area;7.0;Beneficio Busqueda;0;UNIQUE;Duplica aaaaaParametrosGenerales_PK;aaaaaParametrosGenerales_PK;Liberar 0.015625MB, - 0.0 ops. de escritura
Proyectos;aaProyectos_PK;NONCLUSTERED;True;True;0.0;0.0;0.0;0.0;;;0.015625;0.015625;Id_Proyecto;0.0;NO USO;1;PK Y UNIQUE;Unico;aaProyectos_PK;
Proyectos;Id_Proyecto;NONCLUSTERED;False;False;1.0;0.0;0.0;0.0;2026-06-04 09:07:06.383;;0.015625;0.015625;Id_Proyecto;1.0;Beneficio Busqueda;0;INDEX;Duplica aaProyectos_PK;aaProyectos_PK;Liberar 0.015625MB, - 0.0 ops. de escritura
TablaBienestar;aaaTablaBienestar_PK;NONCLUSTERED;True;True;0.0;0.0;0.0;0.0;;;0.015625;0.015625;Id_Bienestar;0.0;NO USO;1;PK Y UNIQUE;Unico;aaaTablaBienestar_PK;
TablaBienestar;Id_Funcionario;NONCLUSTERED;False;False;2.0;0.0;0.0;0.0;2026-06-04 09:06:42.163;;0.015625;0.015625;Id_Bienestar;2.0;Beneficio Busqueda;0;INDEX;Duplica aaaTablaBienestar_PK;aaaTablaBienestar_PK;Liberar 0.015625MB, - 0.0 ops. de escritura
