Tabla;Indice;TypeDesc;EsPK;EsUnique;user_seeks;user_scans;user_lookups;user_updates;last_user_seek;last_user_scan;TamanoTotal_MB;UsedPages_MB;DataPages_MB
Asistencia;aaaaaAsistencia_PK;NONCLUSTERED;True;True;;;;;;;0.0;0.0;0.0
Asistencia;Id_Funcionario;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
Atrasos;;HEAP;False;False;;;;;;;0.007812;0.007812;0.0
Bancos;;HEAP;False;False;;;;;;;0.015625;0.015625;0.007812
Bancos;aaaaaBancos_PK;NONCLUSTERED;True;True;;;;;;;0.015625;0.015625;0.007812
Bancos;Id_Banco;NONCLUSTERED;False;True;;;;;;;0.015625;0.015625;0.007812
Base_CalculoLicencia;;HEAP;False;False;;;;;;;1.460937;1.054687;1.03125
Base_CalculoLicencia;aaaBase_CalculoLicencia_PK;NONCLUSTERED;True;True;;;;;;;0.257812;0.09375;0.078125
BaseCalculo_PostNatalParental;aaaBaseCalculo_PostNatalParental_PK;CLUSTERED;True;True;;;;;;;0.0;0.0;0.0
BaseCalculo_PostNatalParental;Id_CorrelativoPermiso;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
BaseCalculo_PostNatalParental;Rut;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
BaseCalculo_RentaPromedio;;HEAP;False;False;;;;;;;0.195312;0.125;0.117187
BaseCalculo_RentaPromedio;aaBaseCalculo_RentaPromedio_PK;NONCLUSTERED;True;True;;;;;;;0.125;0.09375;0.078125
BaseCalculo_RentaPromedio;Ano;NONCLUSTERED;False;False;;;;;;;0.164062;0.054687;0.039062
BaseCalculo_RentaPromedio;Rut;NONCLUSTERED;False;False;;;;;;;0.179687;0.09375;0.078125
Bienestar_MacroCalculo;aaaBienestar_MacroCalculo_PK;CLUSTERED;True;True;;;;;;;0.015625;0.015625;0.007812
Bienestar_TipoMoneda;aaaBienestar_TipoMoneda_PK;CLUSTERED;True;True;;;;;;;0.015625;0.015625;0.007812
BoletasHonorarios;;HEAP;False;False;;;;;;;0.0;0.0;0.0
BoletasHonorarios;aaBoletasHonorarios_PK;NONCLUSTERED;True;True;;;;;;;0.0;0.0;0.0
BoletasHonorarios;Ano;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
BoletasHonorarios;Id_Funcionario;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
BoletasHonorarios;Mes;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
CABEZA;;HEAP;False;False;;;;;;;2.757812;2.5;2.492187
Calificacion;;HEAP;False;False;;;;;;;0.015625;0.015625;0.007812
Calificacion;aaaCalificacion_PK;NONCLUSTERED;True;True;;;;;;;0.015625;0.015625;0.007812
CalificacionApelada;;HEAP;False;False;;;;;;;0.0;0.0;0.0
CalificacionApelada;aaaCalificacionApelada_PK;NONCLUSTERED;True;True;;;;;;;0.0;0.0;0.0
CalificacionApelada;Id_Funcionario;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
CalificacionApelada;Periodo;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
Capacitacion;;HEAP;False;False;;;;;;;0.007812;0.007812;0.0
Capacitacion;aaaaaCapacitacion_PK;NONCLUSTERED;True;True;;;;;;;0.015625;0.015625;0.007812
Capacitacion;Id_Funcionario;NONCLUSTERED;False;False;;;;;;;0.015625;0.015625;0.007812
Carga;;HEAP;False;False;;;;;;;0.015625;0.015625;0.007812
CargaDescuentosVarios;;HEAP;False;False;;;;;;;0.070312;0.03125;0.023437
CargaDescuentosVarios;CargaDescuentosVarios_PK;NONCLUSTERED;True;True;;;;;;;0.015625;0.015625;0.007812
CargaDescuentosVarios_Aviso;;HEAP;False;False;;;;;;;0.078125;0.023437;0.015625
CargaDescuentosVarios_Aviso;aaaaaCargaDescuentosVarios_Aviso_PK;NONCLUSTERED;True;True;;;;;;;0.078125;0.03125;0.015625
CargaPagosLicencia;;HEAP;False;False;;;;;;;0.0;0.0;0.0
CargaPagosLicencia;FechaInicio;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
CargaPagosLicencia;FechaTermino;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
CargaPagosLicencia;NLicencia;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
CargaPagosLicencia;Rut;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
CargaPagosLicencia_Aviso;;HEAP;False;False;;;;;;;0.0;0.0;0.0
CargaPagosLicencia_Aviso;NLicencia;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
CargaPagosLicencia_Aviso;Rut;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
CargasRetroactivas;;HEAP;False;False;;;;;;;0.015625;0.015625;0.007812
CargasRetroactivas;aaaaaCargasRetroactivas_PK;NONCLUSTERED;True;True;;;;;;;0.015625;0.015625;0.007812
CargasRetroactivas;Id_Carga_Retro;NONCLUSTERED;False;False;;;;;;;0.015625;0.015625;0.007812
CargasRetroactivas;Id_Funcionario;NONCLUSTERED;False;False;;;;;;;0.015625;0.015625;0.007812
CargoFuncionario;;HEAP;False;False;;;;;;;0.070312;0.015625;0.007812
CargoFuncionario;aaaCargoFuncionario_PK;NONCLUSTERED;True;True;;;;;;;0.070312;0.015625;0.007812
Cargos_Junta;;HEAP;False;False;;;;;;;0.015625;0.015625;0.007812
Cargos_Junta;aaaCargos_Junta_PK;NONCLUSTERED;True;True;;;;;;;0.015625;0.015625;0.007812
Cheques;;HEAP;False;False;;;;;;;0.007812;0.007812;0.0
Cheques;aaaaaCheques_PK;NONCLUSTERED;True;True;;;;;;;0.015625;0.015625;0.007812
ClasificacionFuncionarios;;HEAP;False;False;;;;;;;0.015625;0.015625;0.007812
ClasificacionFuncionarios;aaClasificacionFuncionarios_PK;NONCLUSTERED;True;True;;;;;;;0.015625;0.015625;0.007812
ClasificacionFuncionarios;Id_Clasificacion_INE;NONCLUSTERED;False;False;;;;;;;0.015625;0.015625;0.007812
CometidoFuncionario;;HEAP;False;False;;;;;;;0.078125;0.0625;0.054687
CometidoFuncionario;aaaCometidoFuncionario_PK;NONCLUSTERED;True;True;;;;;;;0.015625;0.015625;0.007812
CometidoFuncionario_Old;;HEAP;False;False;;;;;;;0.0;0.0;0.0
CometidoFuncionario_Old;aaaaaCometidoFuncionario_PK;NONCLUSTERED;True;True;;;;;;;0.0;0.0;0.0
CometidoFuncionario_Old;Id_Cometido;NONCLUSTERED;False;True;;;;;;;0.0;0.0;0.0
CometidoFuncionario_Old;Id_Funcionario;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
CompensacionDeTiempo;;HEAP;False;False;;;;;;;0.0;0.0;0.0
CompensacionDeTiempo;aaaCompensacionDeTiempo_PK;NONCLUSTERED;True;True;;;;;;;0.0;0.0;0.0
CompensacionDeTiempo;Id_Correlativo;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
CompensacionDeTiempo;Id_Funcionario;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
CompensacionDeTiempo_Old;;HEAP;False;False;;;;;;;0.0;0.0;0.0
CompensacionDeTiempo_Old;CompensacionDeTiempo_PK;NONCLUSTERED;True;True;;;;;;;0.0;0.0;0.0
CompensacionDeTiempo_Old;Id_Correlativo;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
CompensacionDeTiempo_Old;Id_Funcionario;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
ComponentesINE;;HEAP;False;False;;;;;;;0.015625;0.015625;0.007812
ComponentesINE;aaComponentesINE_PK;NONCLUSTERED;True;True;;;;;;;0.015625;0.015625;0.007812
ComponentesINE;Id_Componente_INE;NONCLUSTERED;False;False;;;;;;;0.015625;0.015625;0.007812
ComponentesINE;Orden;NONCLUSTERED;False;False;;;;;;;0.015625;0.015625;0.007812
ComponentesLey20922;;HEAP;False;False;;;;;;;0.070312;0.015625;0.007812
ComponentesLey20922;aaComponentesLey20922_PK;NONCLUSTERED;True;True;;;;;;;0.070312;0.015625;0.007812
ComponentesLey20922;Id_Componente_Ley20922;NONCLUSTERED;False;False;;;;;;;0.070312;0.015625;0.007812
Constantes;;HEAP;False;False;;;;;;;0.015625;0.015625;0.007812
Constantes;aaaaaConstantes_PK;NONCLUSTERED;True;True;;;;;;;0.015625;0.015625;0.007812
Constantes;Id_Constante;NONCLUSTERED;False;True;;;;;;;0.015625;0.015625;0.007812
ContingenciaLeySanna;;HEAP;False;False;;;;;;;0.015625;0.015625;0.007812
ContingenciaLeySanna;aaaContingenciaLeySanna_PK;NONCLUSTERED;True;True;;;;;;;0.015625;0.015625;0.007812
ControlHorarioFuncionario;;HEAP;False;False;;;;;;;0.0;0.0;0.0
ControlHorarioFuncionario;Fecha_Control;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
ControlHorarioFuncionario;Id_Funcionario;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
CORR_HOJAVIDACALIF;;HEAP;False;False;;;;;;;0.015625;0.015625;0.007812
CORR_HOJAVIDACALIF;aaaCORR_HOJAVIDACALIF_PK;NONCLUSTERED;True;True;;;;;;;0.015625;0.015625;0.007812
CuentaBanco;;HEAP;False;False;;;;;;;0.117187;0.0625;0.054687
CuentaBanco;aaaaaCuentaBanco_PK;NONCLUSTERED;True;True;;;;;;;0.015625;0.015625;0.007812
CuentaBanco;Id_Banco;NONCLUSTERED;False;False;;;;;;;0.015625;0.015625;0.007812
