Esquema;Tabla;Indice;Tipo;EsPK;EsUnique;Pages;Fragmentacion;PageFullness
dbo;CuentasCorrientes;TipoCuentaCorriente;NONCLUSTERED;False;False;0;0.0;0.0
dbo;CuentasSinim;PK_CuentasSinim;CLUSTERED;True;True;412;66.50485436893204;67.71766740795651
dbo;Datos_Agregado_Analitico;PK_Datos_Agregado_Analitico;CLUSTERED;True;True;1940;0.36082474226804123;99.31214479861626
dbo;DatosTomadosTesoreria;PK_DatosTomadosTesoreria;CLUSTERED;True;True;183;76.50273224043715;73.01057573511244
dbo;DecretoSubvencion;PK_DecretoSubvencion;CLUSTERED;True;True;0;0.0;0.0
dbo;DefinicionSubvencion;PK_DefinicionSubvencion;CLUSTERED;True;True;1;0.0;1.5567086730911786
dbo;Departamentos;Area;NONCLUSTERED;False;False;0;0.0;0.0
dbo;Departamentos;Departamento;NONCLUSTERED;False;False;0;0.0;0.0
dbo;Departamentos;Direccion;NONCLUSTERED;False;False;0;0.0;0.0
dbo;Departamentos;PK_Departamentos;CLUSTERED;True;True;0;0.0;0.0
dbo;Det_TransferBancoStgo;PK_Det_TransferBancoStgo;CLUSTERED;True;True;0;0.0;0.0
dbo;Detalle_Compro_Transac;Detalle_Compro_Transaccione;NONCLUSTERED;True;True;10467;0.21973822489729627;99.6046454163578
dbo;DETALLE_CTA_BALANCETRIBUTARIO;PK_DETALLE_CTA_BALANCETRIBUTARIO;CLUSTERED;True;True;1;0.0;3.4346429453916483
dbo;Detalle_FSubvencion;PK_Detalle_FSubvencion;CLUSTERED;True;True;0;0.0;0.0
dbo;DetalleApertura;PK_DetalleApertura;CLUSTERED;True;True;107;40.18691588785047;95.35920434890042
dbo;DetalleComprobantes;PK_DetalleComprobantes;CLUSTERED;True;True;36689;0.40066504946986836;99.25681986656782
dbo;DetalleModificacionesPresupues;PK_DetalleModificacionesPresupues;CLUSTERED;True;True;178;58.42696629213483;93.40280454657771
dbo;DetalleObligaciones;PK_DetalleObligaciones;CLUSTERED;True;True;6343;0.42566608860160804;98.87097850259453
dbo;DetalleObligaciones_Adquisiciones;PK_DetalleObligaciones_Adquisiciones;NONCLUSTERED;True;True;0;0.0;0.0
