TABLA;INDICE;PAGES;FRAGMENTACION;PAGE_FULLNESS;USER_SEEKS;USER_SCANS;USER_LOOKUPS;USER_UPDATES;USED-PAGES
Bienestar_TipoMoneda;aaaBienestar_TipoMoneda_PK;1;0;1.01309612058315;0.0;6.0;0.0;0.0;0.0
Bienios_Cumplidos;aaaaaBienios_Cumplidos_PK;1;0;54.5836422041018;0.0;0.0;0.0;0.0;0.0
Bienios_Cumplidos;Id_Funcionario;1;0;41.7346182357302;0.0;0.0;0.0;0.0;0.0
Calificacion;aaaaaCalificacion_PK;0;0;0;0.0;0.0;0.0;0.0;0.0
Calificacion;Id_Establecimeinto;0;0;0;0.0;0.0;0.0;0.0;0.0
Calificacion;Id_Funcionario;0;0;0;0.0;0.0;0.0;0.0;0.0
Calificacion;Periodo;0;0;0;0.0;0.0;0.0;0.0;0.0
Capacitacion;aaaaaCapacitacion_PK;1;0;0.33358042994811;0.0;0.0;0.0;0.0;0.0
Capacitacion;Id_Capacitacion;1;0;0.160612799604645;0.0;0.0;0.0;0.0;0.0
Capacitacion;Rut_Funcionario;1;0;0.284161106992834;0.0;0.0;0.0;0.0;0.0
CargaDescuentosVarios_Aviso;aaaaaCargaDescuentosVarios_Aviso_PK;161;0;79.7548183839881;0.0;0.0;0.0;0.0;0.0
CargaPagosLicencia;FechaInicio;1;0;17.9145045712874;0.0;0.0;0.0;0.0;0.0
CargaPagosLicencia;FechaTermino;1;0;17.9145045712874;0.0;0.0;0.0;0.0;0.0
CargaPagosLicencia;NLicencia;1;0;24.0919199406968;0.0;0.0;0.0;0.0;0.0
CargaPagosLicencia;Rut;1;0;22.8070175438597;0.0;0.0;0.0;0.0;0.0
CargaPagosLicencia_Aviso;NLicencia;1;0;0.345935260686929;0.0;0.0;0.0;0.0;0.0
CargaPagosLicencia_Aviso;Rut;1;0;0.321225599209291;0.0;0.0;0.0;0.0;0.0
CargasRetroactivas;aaaaaCargasRetroactivas_PK;24;95.8333333333333;65.2700642451198;0.0;0.0;0.0;0.0;0.0
CargasRetroactivas;Id_Carga_Retro;17;88.2352941176471;54.2813194959229;0.0;0.0;0.0;0.0;0.0
CargasRetroactivas;Id_Establecimiento;18;94.4444444444444;71.2537435137139;0.0;0.0;0.0;0.0;0.0
CargasRetroactivas;Id_Funcionario;12;75;76.9088213491475;0.0;0.0;0.0;0.0;0.0
CargoFuncionario;aaaaaCargoFuncionario_PK;1;0;65.344699777613;0.0;0.0;0.0;0.0;0.0
CargoFuncionario;Id_Cargo;1;0;65.344699777613;0.0;0.0;0.0;0.0;0.0
CarreraDocente;aaaCarreraDocente_PK;0;0;0;0.0;0.0;0.0;0.0;0.0
CarreraDocente;Ano;0;0;0;0.0;0.0;0.0;0.0;0.0
CarreraDocente;Correlativo;0;0;0;0.0;0.0;0.0;0.0;0.0
CarreraDocente;Mes;0;0;0;0.0;0.0;0.0;0.0;0.0
CarreraDocente;Rut;0;0;0;0.0;0.0;0.0;0.0;0.0
CategoriaAsistEducacion;aaaCategoriaAsistEducacion_PK;1;0;1.5072893501359;0.0;5.0;0.0;0.0;0.0
CausalesEgreso;aaaaaCausalesEgreso_PK;1;0;0.160612799604645;0.0;0.0;0.0;0.0;0.0
CausalesEgreso;Id_Codigo;1;0;0.160612799604645;0.0;0.0;0.0;0.0;0.0
CCAF_LosAndes;aaCCAF_LosAndes_PK;0;0;0;0.0;0.0;0.0;0.0;0.0
CCAF_LosAndes;K1_Ano;1;0;0;0.0;0.0;0.0;0.0;0.0
CCAF_LosAndes;K1_Id_Establecimiento;1;0;0;0.0;0.0;0.0;0.0;0.0
CCAF_LosAndes;K1_Id_Funcionario;1;0;0;0.0;0.0;0.0;0.0;0.0
CCAF_LosAndes;K1_Mes;1;0;0;0.0;0.0;0.0;0.0;0.0
CCAF_LosAndes_AfiliadoVoluntario;aaCCAF_LosAndes_AfiliadoVoluntario_PK;0;0;0;0.0;0.0;0.0;0.0;0.0
CCAF_LosAndes_AfiliadoVoluntario;K1_Ano;0;0;0;0.0;0.0;0.0;0.0;0.0
CCAF_LosAndes_AfiliadoVoluntario;K1_Id_Establecimiento;0;0;0;0.0;0.0;0.0;0.0;0.0
CCAF_LosAndes_AfiliadoVoluntario;K1_Id_Funcionario;0;0;0;0.0;0.0;0.0;0.0;0.0
CCAF_LosAndes_AfiliadoVoluntario;K1_Mes;0;0;0;0.0;0.0;0.0;0.0;0.0
CCAF_LosAndes_DepositosConvenidos;aaCCAF_LosAndes_DepositosConvenidos_PK;0;0;0;0.0;0.0;0.0;0.0;0.0
CCAF_LosAndes_DepositosConvenidos;K1_Ano;1;0;0;0.0;0.0;0.0;0.0;0.0
CCAF_LosAndes_DepositosConvenidos;K1_Id_Establecimiento;1;0;0;0.0;0.0;0.0;0.0;0.0
CCAF_LosAndes_DepositosConvenidos;K1_Id_Funcionario;1;0;0;0.0;0.0;0.0;0.0;0.0
CCAF_LosAndes_DepositosConvenidos;K1_Mes;1;0;0;0.0;0.0;0.0;0.0;0.0
CCAF_LosAndes_SIL;aaCCAF_LosAndes_SIL_PK;0;0;0;0.0;0.0;0.0;0.0;0.0
CCAF_LosAndes_SIL;K1_Ano;0;0;0;0.0;0.0;0.0;0.0;0.0
CCAF_LosAndes_SIL;K1_Id_Establecimiento;0;0;0;0.0;0.0;0.0;0.0;0.0
CCAF_LosAndes_SIL;K1_Id_Funcionario;0;0;0;0.0;0.0;0.0;0.0;0.0
CCAF_LosAndes_SIL;K1_Mes;0;0;0;0.0;0.0;0.0;0.0;0.0
Centros_Estudios;aaCentros_Estudios_PK;1;0;79.1574005436126;0.0;0.0;0.0;0.0;0.0
Centros_Estudios;Id_Centros_Estudios;1;0;79.1574005436126;0.0;0.0;0.0;0.0;0.0
Certificados;PK_Certificados;1;0;0.938967136150235;0.0;0.0;0.0;0.0;0.0
Cheques;aaaaaCheques_PK;1;0;0;0.0;0.0;1.0;0.0;1.0
Cheques;Id_Establecimiento;1;0;0;0.0;0.0;1.0;0.0;1.0
ClasificacionFuncionarios;aaClasificacionFuncionarios_PK;1;0;1.42080553496417;0.0;9.0;0.0;0.0;0.0
CometidoFuncionario;aaaaaCometidoFuncionario_PK;1;0;0.284161106992834;0.0;0.0;0.0;0.0;0.0
CometidoFuncionario;Id_Cometido;1;0;0.160612799604645;0.0;0.0;0.0;0.0;0.0
CometidoFuncionario;Id_Establecimiento;1;0;0.210032122559921;0.0;0.0;0.0;0.0;0.0
CometidoFuncionario;Id_Funcionario;1;0;0.135903138127008;0.0;0.0;0.0;0.0;0.0
ComponentesINE;aaComponentesINE_PK;1;0;2.54509513219669;0.0;0.0;0.0;0.0;0.0
ComponentesINE;Id_Componente_INE;1;0;2.54509513219669;0.0;16.0;0.0;0.0;0.0
ComponentesINE;Orden;1;0;3.13812700766;0.0;0.0;0.0;0.0;0.0
Constantes;aaaaaConstantes_PK;1;0;7.36347912033605;0.0;0.0;1.0;0.0;0.0
Constantes;Id_Constante;1;0;7.36347912033605;0.0;28.0;0.0;0.0;0.0
ContingenciaLeySanna;aaaContingenciaLeySanna_PK;1;0;0.778354336545589;0.0;0.0;0.0;0.0;0.0
CuentaBanco;aaaaaCuentaBanco_PK;19;89.4736842105263;57.8056585124784;0.0;0.0;0.0;0.0;0.0
CuentaBanco;Id_Establecimiento;17;82.3529411764706;58.1716333086237;0.0;0.0;0.0;0.0;0.0
CuentaBanco;Id_Funcionario;13;76.9230769230769;54.6948356807512;0.0;0.0;0.0;0.0;0.0
DatosPersonales_Finiquito;aaDatosPersonales_Finiquito_PK;0;0;0;0.0;0.0;0.0;0.0;0.0
DatosPersonales_Finiquito;Codigo_Causal;0;0;0;0.0;0.0;0.0;0.0;0.0
DatosPersonales_Finiquito;Codigo_Ley;0;0;0;0.0;0.0;0.0;0.0;0.0
DatosPersonales_Finiquito;Correlativo;0;0;0;0.0;0.0;0.0;0.0;0.0
DatosPersonales_Finiquito;Estado_Finiquito;0;0;0;0.0;0.0;0.0;0.0;0.0
DatosPersonales_Finiquito;Fecha_Inicio;0;0;0;0.0;0.0;0.0;0.0;0.0
DatosPersonales_Finiquito;Fecha_Pago;0;0;0;0.0;0.0;0.0;0.0;0.0
DatosPersonales_Finiquito;Fecha_Termino;0;0;0;0.0;0.0;0.0;0.0;0.0
DatosPersonales_Finiquito;Id_Establecimiento;0;0;0;0.0;0.0;0.0;0.0;0.0
DatosPersonales_Finiquito;Id_Funcionario;0;0;0;0.0;0.0;0.0;0.0;0.0
Decreto_Pago;aaDecreto_Pago_PK;4;50;48.807758833704;0.0;0.0;0.0;0.0;0.0
Decreto_Pago;ID_Haber;2;50;84.6182357301705;0.0;0.0;0.0;0.0;0.0
Decreto_Pago;SW_Clasificador2008;5;80;39.0412651346677;0.0;0.0;0.0;0.0;0.0
DescuentoBienestar;aaaDescuentoBienestar_PK;0;0;0;0.0;0.0;0.0;0.0;0.0
DescuentoBienestar;Id_Bienestar;0;0;0;0.0;0.0;0.0;0.0;0.0
DescuentoBienestar;Id_Establecimiento;0;0;0;0.0;0.0;0.0;0.0;0.0
DescuentoBienestar;Id_Funcionario;0;0;0;0.0;0.0;0.0;0.0;0.0
Descuentos;aaaaaDescuentos_PK;1;0;45.1074870274277;0.0;9.0;0.0;0.0;0.0
Descuentos_Finiquito;aaDescuentos_Finiquito_PK;1;0;42.5376822337534;0.0;0.0;0.0;0.0;0.0
Descuentos_Finiquito;Id_Dcto;1;0;42.5376822337534;0.0;260.0;0.0;0.0;0.0
DescuentoSindicato;aaaDescuentoSindicato_PK;0;0;0;0.0;0.0;0.0;0.0;0.0
DescuentoSindicato;Id_Establecimiento;0;0;0;0.0;0.0;0.0;0.0;0.0
DescuentoSindicato;Id_Funcionario;0;0;0;0.0;0.0;0.0;0.0;0.0
DescuentoSindicato;Id_Sindicato;0;0;0;0.0;0.0;0.0;0.0;0.0
DescuentosNoEfectuados;aaaaaDescuentosNoEfectuados_PK;0;0;0;0.0;0.0;1.0;0.0;1.0
DescuentosNoEfectuados;Id_Descuento;0;0;0;0.0;0.0;0.0;0.0;1.0
DescuentosNoEfectuados;Id_Establecimiento;0;0;0;0.0;0.0;0.0;0.0;1.0
DescuentosNoEfectuados;Id_Funcionario;0;0;0;0.0;0.0;1.0;0.0;1.0
DescuentosNoEfectuadosSuple;aaaDescuentosNoEfectuadosSuple_PK;0;0;0;0.0;0.0;0.0;0.0;0.0
Detalle_DecretoPago;aaDetalle_DecretoPago_PK;6169;0;99.8186310847541;0.0;3939.0;299.0;0.0;0.0
Detalle_DecretoPago;Cta_CodigoTrabajo;8761;0;99.7176303434643;0.0;0.0;0.0;0.0;0.0
Detalle_DecretoPago;Cta_Contrata;8762;0;99.7078576723499;0.0;0.0;0.0;0.0;0.0
Detalle_DecretoPago;Cta_Planta;8762;0;99.7080059303187;0.0;0.0;0.0;0.0;0.0
Detalle_DecretoPago;Cta_Suplencia;8763;0;99.7079070916729;0.0;0.0;0.0;0.0;0.0
DetalleCCAF;aaDetalleCCAF_PK;0;0;0;0.0;0.0;0.0;0.0;0.0
DetalleDesDificil;aaaaaDetalleDesDificil_PK;0;0;0;0.0;0.0;1.0;0.0;0.0
Dias_Feriados;aaaaaDias_Feriados_PK;2;50;83.3086236718557;0.0;0.0;0.0;0.0;0.0
Dias_Feriados;Ano;3;66.6666666666667;43.8349394613294;0.0;0.0;0.0;0.0;0.0
Dias_Feriados;Dia;2;50;56.9928341981715;0.0;0.0;0.0;0.0;0.0
Dias_Feriados;Mes;2;50;56.9928341981715;0.0;0.0;0.0;0.0;0.0
DistribucionDesDificil;aaaaaDistribucionDesDificil_PK;0;0;0;0.0;0.0;0.0;0.0;0.0
DocenteCapRedEnlace;aaaaaDocenteCapRedEnlace_PK;1;0;0;0.0;0.0;0.0;0.0;0.0
dtproperties;pk_dtproperties;0;0;0;0.0;0.0;0.0;0.0;0.0
ErroresMigracionNet;ID;0;0;0;0.0;0.0;0.0;0.0;0.0
ErroresMigracionNet;PK_ErroresMigracionNet;0;0;0;0.0;0.0;0.0;0.0;0.0
Escalafones;aaaaaEscalafones_PK;1;0;0.296515937731653;0.0;0.0;0.0;0.0;0.0
Escalafones;Id_Escalafon;1;0;0.296515937731653;0.0;0.0;0.0;0.0;0.0
Establecimiento;aaaaaEstablecimiento_PK;1;0;67.667407956511;0.0;0.0;0.0;0.0;0.0
Establecimiento;IdEstablecimiento;1;0;67.667407956511;0.0;0.0;5.0;0.0;0.0
Estado_LME;aaaEstado_LME_PK;1;0;4.63306152705708;0.0;0.0;0.0;0.0;0.0
EstadoCivil;aaaEstadoCivil_PK;1;0;1.60612799604645;0.0;10.0;0.0;0.0;0.0
EstadoEstudio;aaaEstadoEstudio_PK;1;0;1.18606375092661;0.0;0.0;0.0;0.0;0.0
EstadoPrevisional;aaaEstadoPrevisional_PK;1;0;3.71880405238448;0.0;17.0;0.0;0.0;1.0
Estamento;aaaEstamento_PK;1;0;5.84383493946133;0.0;0.0;0.0;0.0;0.0
Estamento_Dipres;aaaEstamento_Dipres_PK;1;0;1.74203113417346;0.0;0.0;0.0;0.0;0.0
FactorActual;PK_FactorActual;1;0;1.45787002718063;0.0;0.0;0.0;0.0;0.0
Feriados;aaaaaFeriados_PK;18;88.8888888888889;58.7328144304423;0.0;0.0;0.0;0.0;0.0
Feriados;Id_Correlativo;7;85.7142857142857;89.088930071658;0.0;0.0;0.0;0.0;0.0
Feriados;Id_Establecimiento;16;93.75;45.2843217197924;0.0;0.0;0.0;0.0;0.0
Feriados;Id_Funcionario;8;75;67.5531257721769;0.0;0.0;0.0;0.0;0.0
Feriados;Id_Periodo;8;62.5;67.5531257721769;0.0;0.0;0.0;0.0;0.0
Ficha_EducacionHrs;aaaaaFicha_EducacionHrs_PK;29;3.44827586206897;98.7283049172226;0.0;0.0;0.0;0.0;0.0
Ficha_EducacionHrs;Id_Establecimiento;25;4;96.2495675809241;0.0;0.0;0.0;0.0;0.0
Ficha_EducacionHrs;Id_Funcionario;19;5.26315789473684;96.1817148505066;0.0;0.0;0.0;0.0;0.0
Ficha_EducacionHrs;Tipo_Horas;19;5.26315789473684;96.1817148505066;0.0;0.0;0.0;0.0;0.0
FichaAfiliadoVoluntario;aaFichaAfiliadoVoluntario_PK;0;0;0;0.0;0.0;3.0;0.0;2.0
FichaAfiliadoVoluntario;Id_Establecimiento;0;0;0;0.0;0.0;0.0;0.0;0.0
FichaAfiliadoVoluntario;Id_Funcionario;0;0;0;0.0;0.0;0.0;0.0;0.0
FichaAfiliadoVoluntario;Rut_Afiliado;0;0;0;0.0;0.0;0.0;0.0;0.0
FichaDetalle_AEduca;aaFichaDetalle_AEduca_PK;0;0;0;0.0;0.0;1.0;0.0;0.0
