AnexoPlanCuentaPrivado;Rut;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000
AnexoPlandeCuenta;NULL;HEAP;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.070312;0.070312;0.031250
AnexoPlandeCuenta;aaAnexoPlandeCuenta_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.015625
AnexoPlandeCuenta;Ano_Proceso;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812
AnexoPlandeCuenta;Codigo_Area;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812
AnexoPlandeCuenta;CodigoCuenta;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.015625
AnexoPlandeCuenta;Mes_Proceso;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812
AñoRenta;NULL;HEAP;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812
Anotaciones;NULL;HEAP;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.007812;0.007812;0.000000
Anotaciones;aaaaaAnotaciones_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812
Anotaciones;Id_Establecimiento;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812
Anotaciones;Id_Funcionario;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812
Anotaciones;Id_Merito_Demerito;NONCLUSTERED;0;1;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812
Anotaciones;Id_TipoAnotacion;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812
Antecedentes;NULL;HEAP;0;0;0;1;0;0;NULL;2026-06-04 09:07:45.233;1.015625;0.726562;0.710937
Antecedentes;aaaaaAntecedentes_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.382812;0.257812;0.242187
Antecedentes;Id_Antecedentes;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.195312;0.125000;0.109375
Antecedentes;Id_Establecimiento;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.320312;0.203125;0.187500
Antecedentes;Id_Funcionario;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.265625;0.187500;0.164062
AperturaDeCuentas;NULL;HEAP;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000
AperturaDeCuentas;aaAperturaDeCuentas_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000
AperturaDeCuentas;Id_Establecimiento;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000
AperturaDeCuentas;Id_Funcionario;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000
Asignaciones_Transparencia;aaaAsignaciones_Transparencia_PK;CLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.101562;0.046875;0.031250
Asignaciones_Transparencia;Id_Haber;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812
Asignaturas;NULL;HEAP;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812
Asignaturas;aaaaaAsignaturas_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812
Asistencia;NULL;HEAP;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000
Asistencia;aaaaaAsistencia_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000
Asistencia;Id_Establecimiento;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000
Asistencia;Id_Funcionario;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000
Bancos;NULL;HEAP;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812
Bancos;aaaaaBancos_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812
Bancos;Id_Banco;NONCLUSTERED;0;1;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812
Base_CalculoLicencia;NULL;HEAP;0;0;0;0;2;0;NULL;NULL;24.007812;23.984375;23.976562
Base_CalculoLicencia;aaaBase_CalculoLicencia_PK;NONCLUSTERED;1;1;2;0;0;0;2026-06-04 10:00:08.660;NULL;3.132812;3.125000;3.085937
BaseCalculo_PostNatalParental;aaaBaseCalculo_PostNatalParental_PK;CLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.257812;0.187500;0.171875
BaseCalculo_PostNatalParental;Id_CorrelativoPermiso;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.078125;0.031250;0.015625
BaseCalculo_PostNatalParental;Rut;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.078125;0.031250;0.015625
Bienestar_MacroCalculo;aaaBienestar_MacroCalculo_PK;CLUSTERED;1;1;12;0;0;0;2026-06-04 09:07:12.937;NULL;0.070312;0.015625;0.007812
Bienestar_TipoMoneda;aaaBienestar_TipoMoneda_PK;CLUSTERED;1;1;6;0;0;0;2026-06-04 09:07:12.910;NULL;0.070312;0.015625;0.007812
Bienios_Cumplidos;NULL;HEAP;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812
Bienios_Cumplidos;aaaaaBienios_Cumplidos_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812
Bienios_Cumplidos;Id_Funcionario;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812
CABEZA;NULL;HEAP;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000
Calificacion;NULL;HEAP;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000
Calificacion;aaaaaCalificacion_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000
Calificacion;Id_Establecimeinto;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000
Calificacion;Id_Funcionario;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000
Calificacion;Periodo;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000
Capacitacion;NULL;HEAP;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.070312;0.015625;0.007812
Capacitacion;aaaaaCapacitacion_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.070312;0.015625;0.007812
Capacitacion;Id_Capacitacion;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.070312;0.015625;0.007812
Capacitacion;Rut_Funcionario;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.070312;0.015625;0.007812
Carga;NULL;HEAP;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812
CargaDescuentosVarios;NULL;HEAP;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.140625;0.117187;0.101562
CargaDescuentosVarios_Aviso;NULL;HEAP;0;0;NULL;NULL;NULL;NULL;NULL;NULL;2.070312;2.031250;2.023437
CargaDescuentosVarios_Aviso;aaaaaCargaDescuentosVarios_Aviso_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;1.382812;1.273437;1.257812
CargaFechaTermino;NULL;HEAP;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000
CargaFechaTermino_Aviso;NULL;HEAP;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000
CargaPagosLicencia;NULL;HEAP;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.070312;0.015625;0.007812
CargaPagosLicencia;FechaInicio;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.070312;0.015625;0.007812
CargaPagosLicencia;FechaTermino;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.070312;0.015625;0.007812
CargaPagosLicencia;NLicencia;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.070312;0.015625;0.007812
CargaPagosLicencia;Rut;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.070312;0.015625;0.007812
CargaPagosLicencia_Aviso;NULL;HEAP;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.007812;0.007812;0.000000
CargaPagosLicencia_Aviso;NLicencia;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.070312;0.015625;0.007812
CargaPagosLicencia_Aviso;Rut;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.070312;0.015625;0.007812
CargasRetroactivas;NULL;HEAP;0;0;0;3;0;1;NULL;2026-06-04 10:00:09.037;0.679687;0.468750;0.265625
CargasRetroactivas;aaaaaCargasRetroactivas_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.210937;0.132812;0.187500
CargasRetroactivas;Id_Carga_Retro;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.164062;0.117187;0.132812
CargasRetroactivas;Id_Establecimiento;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.210937;0.109375;0.140625
CargasRetroactivas;Id_Funcionario;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.156250;0.070312;0.093750
CargoFuncionario;NULL;HEAP;0;0;0;1;0;1;NULL;2026-06-04 09:07:06.943;0.125000;0.085937;0.078125
CargoFuncionario;aaaaaCargoFuncionario_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812
CargoFuncionario;Id_Cargo;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812
CarreraDocente;aaaCarreraDocente_PK;CLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000
CarreraDocente;Ano;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000
CarreraDocente;Correlativo;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000
CarreraDocente;Mes;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000
CarreraDocente;Rut;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000
CategoriaAsistEducacion;aaaCategoriaAsistEducacion_PK;CLUSTERED;1;1;5;0;0;0;2026-06-04 09:07:07.537;NULL;0.015625;0.015625;0.007812
CausalesEgreso;NULL;HEAP;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812
CausalesEgreso;aaaaaCausalesEgreso_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812
CausalesEgreso;Id_Codigo;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812
CCAF_LosAndes;NULL;HEAP;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.039062;0.031250;0.000000
CCAF_LosAndes;aaCCAF_LosAndes_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000
CCAF_LosAndes;K1_Ano;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812
CCAF_LosAndes;K1_Id_Establecimiento;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812
