TABLA;INDICE;TYPE_DESC;IS_PRIMARY_KEY;IS_UNIQUE;USER_SEEKS;USER_SCANS;USER_LOOKUPS;USER_UPDATES;LAST_USER_SEEK;LAST_USER_SCAN;TAMANO-TOTAL;USED-PAGES;DATA-PAGES;ATRIBUTOS;BUSQUEDAS;EVALUACION_INDICE
AnexoPlandeCuenta;Codigo_Area;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Codigo_Area;0.0;NO USO
AnexoPlandeCuenta;CodigoCuenta;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.015625;CodigoCuenta;0.0;NO USO
AnexoPlandeCuenta;Mes_Proceso;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Mes_Proceso;0.0;NO USO
Anotaciones;aaaaaAnotaciones_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Funcionario,Id_Establecimiento,Id_TipoAnotacion,Id_Merito_Demerito;0.0;NO USO
Anotaciones;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Establecimiento;0.0;NO USO
Anotaciones;Id_Funcionario;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Funcionario;0.0;NO USO
Anotaciones;Id_Merito_Demerito;NONCLUSTERED;0;1;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Merito_Demerito;0.0;NO USO
Anotaciones;Id_TipoAnotacion;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_TipoAnotacion;0.0;NO USO
Antecedentes;aaaaaAntecedentes_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.382812;0.257812;0.242187;Id_Establecimiento,Id_Funcionario,Id_Antecedentes;0.0;NO USO
Antecedentes;Id_Antecedentes;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.195312;0.125000;0.109375;Id_Antecedentes;0.0;NO USO
Antecedentes;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.320312;0.203125;0.187500;Id_Establecimiento;0.0;NO USO
Antecedentes;Id_Funcionario;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.265625;0.187500;0.164062;Id_Funcionario;0.0;NO USO
AperturaDeCuentas;aaAperturaDeCuentas_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.000000;0.000000;0.000000;Id_Establecimiento,Id_Funcionario;0.0;NO USO
AperturaDeCuentas;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.000000;0.000000;0.000000;Id_Establecimiento;0.0;NO USO
AperturaDeCuentas;Id_Funcionario;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.000000;0.000000;0.000000;Id_Funcionario;0.0;NO USO
Asignaciones_Transparencia;aaaAsignaciones_Transparencia_PK;CLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.101562;0.046875;0.031250;Id_Haber;0.0;NO USO
Asignaciones_Transparencia;Id_Haber;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Haber;0.0;NO USO
Asignaturas;aaaaaAsignaturas_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Asignatura;0.0;NO USO
Asistencia;aaaaaAsistencia_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.000000;0.000000;0.000000;Id_Establecimiento,Id_Funcionario,Id_Asistencia;0.0;NO USO
Asistencia;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.000000;0.000000;0.000000;Id_Establecimiento;0.0;NO USO
Asistencia;Id_Funcionario;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.000000;0.000000;0.000000;Id_Funcionario;0.0;NO USO
Bancos;aaaaaBancos_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Banco;0.0;NO USO
Bancos;Id_Banco;NONCLUSTERED;0;1;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Banco;0.0;NO USO
Base_CalculoLicencia;aaaBase_CalculoLicencia_PK;NONCLUSTERED;1;1;2.0;0.0;0.0;0.0;2026-06-04 10:00:08.660;;3.132812;3.125000;3.085937;Rut,Id_Licencia;2.0;Beneficio Busqueda
